comment_text,external_id,is_seed,created_at,moderation_status
Georgia’s future should remain firmly aligned with the European Union.,6265faa2-37a7-4da2-b4d2-04e908e25c70,True,2026-02-28T10:39:12.411792,approved
The government was right to slow EU accession negotiations.,5f70777d-1b1c-4668-9a29-b3014a898e12,True,2026-02-28T10:39:12.411792,approved
EU integration should be decided through a national referendum.,a759f55d-3886-4874-9dbf-1a000b3e187b,True,2026-02-28T10:39:12.411792,approved
Georgia should balance relations between the EU and neighboring powers.,602533cf-944e-437a-896e-7b5aa5b64ae1,True,2026-02-28T10:39:12.411792,approved
EU membership reforms are necessary even if politically painful.,f500f26b-46d7-4d47-ae50-a309a3d1cd32,True,2026-02-28T10:39:12.411792,approved
Foreign policy should prioritize economic stability over geopolitics.,92924c2c-4fb7-441d-878f-7ca79762d9ce,True,2026-02-28T10:39:12.411792,approved
Suspending EU talks damaged Georgia’s international reputation.,2ab0b91d-bbfb-4d31-b5e9-8dc9d7137d65,True,2026-02-28T10:39:12.411792,approved
The EU treats Georgia unfairly compared to other candidates.,1ac7a23a-998f-4170-8e38-38ba5d44bf90,True,2026-02-28T10:39:12.411792,approved
Georgia should focus on internal reforms before EU integration.,f099f953-c6e6-4031-b7e7-2fd0b38d883d,True,2026-02-28T10:39:12.411792,approved
European integration remains the only realistic strategic path.,ef140c6f-cdae-44ef-91a8-a4e7f6f29346,True,2026-02-28T10:39:12.411792,approved
Peaceful protest is essential for democracy.,dd20ff0e-d0ff-40e6-8bd8-4320f459f91e,True,2026-02-28T10:39:12.411792,approved
Protesters sometimes go too far in confrontations.,ca403638-50aa-425e-8506-972e7f79686c,True,2026-02-28T10:39:12.411792,approved
Police responses to demonstrations have been excessive.,faf24b20-67b1-4177-b5ec-5882d74df20b,True,2026-02-28T10:39:12.411792,approved
Public order must be protected during protests.,76ef746e-bed5-4c01-a6fc-a7f1c217f3bc,True,2026-02-28T10:39:12.411792,approved
Protest movements represent legitimate public frustration.,1244555f-c404-42ef-87a8-2fee67629380,True,2026-02-28T10:39:12.411792,approved
Continuous protests harm economic stability.,06042641-f499-4e7d-8d7c-8911cf20c793,True,2026-02-28T10:39:12.411792,approved
Citizens should have stronger protections during demonstrations.,9cf5d9a4-4e99-4881-9af6-dbe4a0a8fecd,True,2026-02-28T10:39:12.411792,approved
Dialogue is better than street confrontation.,84210e03-dc16-479b-bdc9-d43351e503f8,True,2026-02-28T10:39:12.411792,approved
Georgia needs new parliamentary elections.,2cf2d15b-1103-4544-97af-956c2807123a,True,2026-02-28T10:39:12.411792,approved
Public trust in elections has declined.,10d994ca-0946-4fbf-968a-422b3d1deae3,True,2026-02-28T10:39:12.411792,approved
Judicial independence must be strengthened.,9f3ec1e9-efe4-4e55-b3f8-3716a0d949c8,True,2026-02-28T10:39:12.411792,approved
Anti-corruption reforms should be prioritized.,687db836-6829-49a7-b1d3-92e440bffb7b,True,2026-02-28T10:39:12.411792,approved
Government transparency remains insufficient.,2dcb621f-b2c2-43a8-88bd-6ab547429708,True,2026-02-28T10:39:12.411792,approved
Independent media face growing pressure.,77505c41-b78d-438c-b722-766b97ebaeb1,True,2026-02-28T10:39:12.411792,approved
Media polarization increases social division.,c9d05d6d-fea6-4166-bf41-c1cca413cd8c,True,2026-02-28T10:39:12.411792,approved
Social media spreads misinformation during crises.,bc009df9-fbce-4f37-9698-71bae79f8daa,True,2026-02-28T10:39:12.411792,approved
Political instability discourages investment.,8c014e8a-86a9-4588-ad48-e3e566ede094,True,2026-02-28T10:39:12.411792,approved
Economic issues matter more than geopolitical debates.,691b3428-e6c0-4884-9582-69e5888e6c24,True,2026-02-28T10:39:12.411792,approved
Young people leave Georgia due to lack of opportunity.,c5bccca2-ca80-4a31-99c4-6c7338650ae8,True,2026-02-28T10:39:12.411792,approved
Inflation affects political attitudes.,4ca81eec-3462-4350-a8db-228a9677e0ed,True,2026-02-28T10:39:12.411792,approved
Youth movements are reshaping politics.,9bd72f09-01de-4dc5-bcb5-e3cb9c690b3f,True,2026-02-28T10:39:12.411792,approved
Students play a key role in civic activism.,c273439f-a833-4d55-8107-18fd2bccca1b,True,2026-02-28T10:39:12.411792,approved
Brain drain is becoming critical.,7e0e85bb-8f08-4e0c-b679-bf1210226d4d,True,2026-02-28T10:39:12.411792,approved
Democracy requires compromise between political forces.,a59d64d6-d481-4d75-9e0b-3c5a9a0b4391,True,2026-02-28T10:39:12.411792,approved
Institutional trust is declining.,18f8c8c3-4ab4-4699-badd-7a6d65cabbc6,True,2026-02-28T10:39:12.411792,approved
Checks and balances must be reinforced.,8c4d728c-b80f-4297-8ca4-3bf3b950dbba,True,2026-02-28T10:39:12.411792,approved
Regional security concerns shape domestic politics.,e9eadbcb-3876-43e7-9c7d-cbcc2c0ef1d9,True,2026-02-28T10:39:12.411792,approved
Georgia must avoid geopolitical confrontation.,f1c0a4b5-bf8f-4983-a7c9-4f1291b47f92,True,2026-02-28T10:39:12.411792,approved
Western partnerships improve national security.,b27a6edd-f741-4dc6-a2bb-f1c174121429,True,2026-02-28T10:39:12.411792,approved
Georgia needs national dialogue across political camps.,53ba82ca-8822-4137-8a18-a244feb3115e,True,2026-02-28T10:39:12.411792,approved
